Disciplina,Data,Aula,Início,Fim,Conteúdo,Status
CAMPOS DE EXPERIÊNCIA,19/02/2026,14,16:45,17:45,"Ilustração ativa e registro espontâneo escrito a partir das clássicas marchinhas de carnaval, proporcionando uma ressignificação festiva através da linguagem oral e plástica.",Pendente
CAMPOS DE EXPERIÊNCIA,20/02/2026,11,13:15,14:15,"Exploração livre de materiais concretos, incluindo blocos lógicos, em nossa atividade prática e focada do Laboratório de Matemática sobre associações e pareamento.",Pendente
CAMPOS DE EXPERIÊNCIA,20/02/2026,14,16:45,17:45,Celebração reflexiva do feliz aniversário da nossa Vila Marista e momento lúdico focado no brincar não-dirigido interativo ocupando a 'casinha de brinquedos'.,Pendente
CAMPOS DE EXPERIÊNCIA,23/02/2026,11,13:15,14:15,"Início da atividade pautada no texto 'João e o pé de feijão', conduzindo a leitura da história com atenção e culminando com o desenho afetuoso que remete livremente a ela.",Pendente
CAMPOS DE EXPERIÊNCIA,23/02/2026,12,14:15,15:15,"Trabalho prático da consciência fonológica aliando conhecimentos de formação nas rimas, escrita espontânea de palavras de uso cotidiano (frutas) e o apoio às letras do alfabeto.",Pendente
CAMPOS DE EXPERIÊNCIA,23/02/2026,13,15:45,16:45,"Exercício de letramento matemático na lúdica e divertida trilha dos numerais (1 ao 10) descobrindo os conceitos fundamentais do que significa ter o 'mais', o 'menos' e representações gráficas.",Pendente
CAMPOS DE EXPERIÊNCIA,25/02/2026,11,13:15,14:15,"Ação prática de colagem e recorte que remonta os fatos da história 'João e o pé de feijão', complementada pelo esforço matemático na quantificação e pintura dos numerais respectivos.",Pendente
CAMPOS DE EXPERIÊNCIA,25/02/2026,12,14:15,15:15,"Atividade tátil explorando roleta com numerais e contagem exata de grãos de feijão fazendo movimento de pinça motora, coordenando o olhar focado com a destreza dos pequenos dedos da criança.",Pendente
CAMPOS DE EXPERIÊNCIA,25/02/2026,13,15:45,16:45,Momento interativo de roda de conversa promovendo um aprendizado de cunho relacional e sócio emocional ao analisar as vivências passadas pela moralidade da narrativa 'João e o pé de feijão'.,Pendente
CAMPOS DE EXPERIÊNCIA,26/02/2026,14,16:45,17:45,"Retomada da progressiva experiência do cultivo do girassol, realizando atenta observação do ciclo e construção interativa de relato histórico com desenhos criados pelo grupo como base viva da narração elaborada.",Pendente
CAMPOS DE EXPERIÊNCIA,27/02/2026,11,13:15,14:15,Momento criativo estimulando experiências livres nos pátios ou tanque de areia com trocas espontâneas e exploração interativa num cenário de confraternização genuína e construtiva da classe.,Pendente
CAMPOS DE EXPERIÊNCIA,27/02/2026,14,16:45,17:45,Encerramento e resgate da diversidade recreativa no espaço de areal em prol da construção de vínculos mais profundos no contexto da sala entre todas as crianças da nossa classe de estudantes no encerramento escolar.,Pendente
CAMPOS DE EXPERIÊNCIA,02/03/2026,11,13:15,14:15,,Pendente
CAMPOS DE EXPERIÊNCIA,02/03/2026,12,14:15,15:15,,Pendente
CAMPOS DE EXPERIÊNCIA,02/03/2026,13,15:45,16:45,,Pendente
CAMPOS DE EXPERIÊNCIA,03/03/2026,11,13:15,14:15,,Pendente
CAMPOS DE EXPERIÊNCIA,03/03/2026,12,14:15,15:15,,Pendente
CAMPOS DE EXPERIÊNCIA,04/03/2026,11,13:15,14:15,,Pendente
CAMPOS DE EXPERIÊNCIA,04/03/2026,12,14:15,15:15,,Pendente
CAMPOS DE EXPERIÊNCIA,04/03/2026,13,15:45,16:45,,Pendente
CAMPOS DE EXPERIÊNCIA,05/03/2026,14,16:45,17:45,,Pendente
CAMPOS DE EXPERIÊNCIA,06/03/2026,11,13:15,14:15,,Pendente
CAMPOS DE EXPERIÊNCIA,06/03/2026,14,16:45,17:45,,Pendente
CAMPOS DE EXPERIÊNCIA,09/03/2026,11,13:15,14:15,,Pendente
CAMPOS DE EXPERIÊNCIA,09/03/2026,12,14:15,15:15,,Pendente
CAMPOS DE EXPERIÊNCIA,09/03/2026,13,15:45,16:45,,Pendente
CAMPOS DE EXPERIÊNCIA,10/03/2026,11,13:15,14:15,,Pendente
CAMPOS DE EXPERIÊNCIA,10/03/2026,12,14:15,15:15,,Pendente
CAMPOS DE EXPERIÊNCIA,11/03/2026,11,13:15,14:15,,Pendente
CAMPOS DE EXPERIÊNCIA,11/03/2026,12,14:15,15:15,,Pendente
CAMPOS DE EXPERIÊNCIA,11/03/2026,13,15:45,16:45,,Pendente
CAMPOS DE EXPERIÊNCIA,12/03/2026,14,16:45,17:45,,Pendente
CAMPOS DE EXPERIÊNCIA,13/03/2026,11,13:15,14:15,,Pendente
CAMPOS DE EXPERIÊNCIA,13/03/2026,14,16:45,17:45,,Pendente
CAMPOS DE EXPERIÊNCIA,16/03/2026,11,13:15,14:15,,Pendente
CAMPOS DE EXPERIÊNCIA,16/03/2026,12,14:15,15:15,,Pendente
CAMPOS DE EXPERIÊNCIA,16/03/2026,13,15:45,16:45,,Pendente
